Alert_Name,Timestamp,GPS_Lat,GPS_Lon,Camera_Source,Details
HIGH_TEMPERATURE,2026-04-07 23:38:50,NO_FIX,NO_FIX,temperature_sensor,53.0°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:38:57,NO_FIX,NO_FIX,temperature_sensor,53.0°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:03,NO_FIX,NO_FIX,temperature_sensor,52.8°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:09,NO_FIX,NO_FIX,temperature_sensor,52.4°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:16,NO_FIX,NO_FIX,temperature_sensor,52.1°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:22,NO_FIX,NO_FIX,temperature_sensor,52.3°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:28,NO_FIX,NO_FIX,temperature_sensor,52.4°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:34,NO_FIX,NO_FIX,temperature_sensor,52.3°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:41,NO_FIX,NO_FIX,temperature_sensor,52.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:39:47,NO_FIX,NO_FIX,temperature_sensor,52.1°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:40:31,NO_FIX,NO_FIX,temperature_sensor,51.9°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:40:37,NO_FIX,NO_FIX,temperature_sensor,51.7°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:40:43,NO_FIX,NO_FIX,temperature_sensor,51.5°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:42:40,NO_FIX,NO_FIX,temperature_sensor,51.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:42:46,NO_FIX,NO_FIX,temperature_sensor,51.4°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:42:52,NO_FIX,NO_FIX,temperature_sensor,50.9°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:42:59,NO_FIX,NO_FIX,temperature_sensor,51.3°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:43:05,NO_FIX,NO_FIX,temperature_sensor,51.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:43:11,NO_FIX,NO_FIX,temperature_sensor,51.5°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:43:17,NO_FIX,NO_FIX,temperature_sensor,51.9°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:43:24,NO_FIX,NO_FIX,temperature_sensor,51.9°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:43:30,NO_FIX,NO_FIX,temperature_sensor,51.1°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:09,NO_FIX,NO_FIX,temperature_sensor,50.6°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:15,NO_FIX,NO_FIX,temperature_sensor,50.1°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:22,NO_FIX,NO_FIX,temperature_sensor,50.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:28,NO_FIX,NO_FIX,temperature_sensor,50.1°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:34,NO_FIX,NO_FIX,temperature_sensor,50.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:40,NO_FIX,NO_FIX,temperature_sensor,50.5°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:47,NO_FIX,NO_FIX,temperature_sensor,50.7°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:53,NO_FIX,NO_FIX,temperature_sensor,50.7°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:50:59,NO_FIX,NO_FIX,temperature_sensor,51.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:51:05,NO_FIX,NO_FIX,temperature_sensor,51.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-07 23:51:12,NO_FIX,NO_FIX,temperature_sensor,51.1°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-08 00:04:40,NO_FIX,NO_FIX,temperature_sensor,50.6°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-08 00:04:47,NO_FIX,NO_FIX,temperature_sensor,50.2°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-08 00:06:50,NO_FIX,NO_FIX,temperature_sensor,50.7°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-08 00:06:56,NO_FIX,NO_FIX,temperature_sensor,50.4°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-08 00:07:44,NO_FIX,NO_FIX,temperature_sensor,51.1°C > threshold 18.0°C
HIGH_TEMPERATURE,2026-04-08 00:07:50,NO_FIX,NO_FIX,temperature_sensor,51.4°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:07:50,NO_FIX,NO_FIX,driver_camera,Yaw=-8671.2°
HEAD_DISTRACTION,2026-04-08 00:07:55,NO_FIX,NO_FIX,driver_camera,Yaw=-8830.5°
HIGH_TEMPERATURE,2026-04-08 00:07:56,NO_FIX,NO_FIX,temperature_sensor,52.1°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:08:00,NO_FIX,NO_FIX,driver_camera,Yaw=406.4°
HIGH_TEMPERATURE,2026-04-08 00:08:02,NO_FIX,NO_FIX,temperature_sensor,52.2°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:04,NO_FIX,NO_FIX,cargo_camera,conf=0.88
HIGH_TEMPERATURE,2026-04-08 00:08:09,NO_FIX,NO_FIX,temperature_sensor,52.6°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:09,NO_FIX,NO_FIX,cargo_camera,conf=0.88
PERSON_IN_CARGO,2026-04-08 00:08:14,NO_FIX,NO_FIX,cargo_camera,conf=0.83
HIGH_TEMPERATURE,2026-04-08 00:08:15,NO_FIX,NO_FIX,temperature_sensor,52.5°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:19,NO_FIX,NO_FIX,cargo_camera,conf=0.87
HIGH_TEMPERATURE,2026-04-08 00:08:21,NO_FIX,NO_FIX,temperature_sensor,52.5°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:24,NO_FIX,NO_FIX,cargo_camera,conf=0.86
HEAD_DISTRACTION,2026-04-08 00:08:26,NO_FIX,NO_FIX,driver_camera,Yaw=-10465.3°
HIGH_TEMPERATURE,2026-04-08 00:08:27,NO_FIX,NO_FIX,temperature_sensor,52.8°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:08:31,NO_FIX,NO_FIX,driver_camera,Yaw=11561.8°
HIGH_TEMPERATURE,2026-04-08 00:08:34,NO_FIX,NO_FIX,temperature_sensor,53.1°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:37,NO_FIX,NO_FIX,cargo_camera,conf=0.89
HIGH_TEMPERATURE,2026-04-08 00:08:40,NO_FIX,NO_FIX,temperature_sensor,53.1°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:42,NO_FIX,NO_FIX,cargo_camera,conf=0.90
HIGH_TEMPERATURE,2026-04-08 00:08:46,NO_FIX,NO_FIX,temperature_sensor,53.5°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:47,NO_FIX,NO_FIX,cargo_camera,conf=0.83
HIGH_TEMPERATURE,2026-04-08 00:08:52,NO_FIX,NO_FIX,temperature_sensor,53.6°C > threshold 18.0°C
PERSON_IN_CARGO,2026-04-08 00:08:53,NO_FIX,NO_FIX,cargo_camera,conf=0.91
HIGH_TEMPERATURE,2026-04-08 00:08:54,NO_FIX,NO_FIX,temperature_sensor,53.8°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:08:58,NO_FIX,NO_FIX,driver_camera,Yaw=382.3°
HIGH_TEMPERATURE,2026-04-08 00:09:03,NO_FIX,NO_FIX,temperature_sensor,53.8°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:03,NO_FIX,NO_FIX,driver_camera,Yaw=4205.9°
HEAD_DISTRACTION,2026-04-08 00:09:08,NO_FIX,NO_FIX,driver_camera,Yaw=4659.7°
HIGH_TEMPERATURE,2026-04-08 00:09:09,NO_FIX,NO_FIX,temperature_sensor,53.8°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:13,NO_FIX,NO_FIX,driver_camera,Yaw=4585.7°
HIGH_TEMPERATURE,2026-04-08 00:09:15,NO_FIX,NO_FIX,temperature_sensor,54.1°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:19,NO_FIX,NO_FIX,driver_camera,Yaw=-14945.8°
HIGH_TEMPERATURE,2026-04-08 00:09:22,NO_FIX,NO_FIX,temperature_sensor,54.1°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:24,NO_FIX,NO_FIX,driver_camera,Yaw=-2731.0°
HIGH_TEMPERATURE,2026-04-08 00:09:28,NO_FIX,NO_FIX,temperature_sensor,54.6°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:29,NO_FIX,NO_FIX,driver_camera,Yaw=1572.2°
HIGH_TEMPERATURE,2026-04-08 00:09:34,NO_FIX,NO_FIX,temperature_sensor,54.1°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:34,NO_FIX,NO_FIX,driver_camera,Yaw=-4297.5°
HEAD_DISTRACTION,2026-04-08 00:09:40,NO_FIX,NO_FIX,driver_camera,Yaw=-254.9°
HIGH_TEMPERATURE,2026-04-08 00:09:40,NO_FIX,NO_FIX,temperature_sensor,54.4°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:45,NO_FIX,NO_FIX,driver_camera,Yaw=-3965.1°
HIGH_TEMPERATURE,2026-04-08 00:09:47,NO_FIX,NO_FIX,temperature_sensor,54.7°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:50,NO_FIX,NO_FIX,driver_camera,Yaw=-3529.1°
HIGH_TEMPERATURE,2026-04-08 00:09:53,NO_FIX,NO_FIX,temperature_sensor,54.6°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:09:55,NO_FIX,NO_FIX,driver_camera,Yaw=1983.8°
HIGH_TEMPERATURE,2026-04-08 00:09:59,NO_FIX,NO_FIX,temperature_sensor,54.4°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:10:01,NO_FIX,NO_FIX,driver_camera,Yaw=1839.9°
HIGH_TEMPERATURE,2026-04-08 00:10:05,NO_FIX,NO_FIX,temperature_sensor,54.8°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:10:06,NO_FIX,NO_FIX,driver_camera,Yaw=1835.4°
HEAD_DISTRACTION,2026-04-08 00:10:11,NO_FIX,NO_FIX,driver_camera,Yaw=1395.1°
HIGH_TEMPERATURE,2026-04-08 00:10:12,NO_FIX,NO_FIX,temperature_sensor,54.8°C > threshold 18.0°C
HEAD_DISTRACTION,2026-04-08 00:10:16,NO_FIX,NO_FIX,driver_camera,Yaw=5679.7°
